"13760: Arbeidsstyrken, sysselsatte, arbeidsledige  og utførte ukeverk for personer 15-74 år, etter kjønn, alder, type justering, måned og statistikkvariabel"

"kjønn";"alder";"type justering";"måned";"Sysselsatte i prosent av befolkningen"
"Begge kjønn";"25-74 år";"Trend";"2012M05";73.1
"Begge kjønn";"25-74 år";"Trend";"2012M06";73.0
"Begge kjønn";"25-74 år";"Trend";"2012M07";72.9
"Begge kjønn";"25-74 år";"Trend";"2012M08";72.8
"Begge kjønn";"25-74 år";"Trend";"2012M09";72.7
"Begge kjønn";"25-74 år";"Trend";"2012M10";72.7
"Begge kjønn";"25-74 år";"Trend";"2012M11";72.6
"Begge kjønn";"25-74 år";"Trend";"2012M12";72.7
"Begge kjønn";"25-74 år";"Trend";"2013M01";72.5
"Begge kjønn";"25-74 år";"Trend";"2013M02";72.5
"Begge kjønn";"25-74 år";"Trend";"2013M03";72.5
"Begge kjønn";"25-74 år";"Trend";"2013M04";72.5
"Begge kjønn";"25-74 år";"Trend";"2013M05";72.5
"Begge kjønn";"25-74 år";"Trend";"2013M06";72.6
"Begge kjønn";"25-74 år";"Trend";"2013M07";72.6
"Begge kjønn";"25-74 år";"Trend";"2013M08";72.7
"Begge kjønn";"25-74 år";"Trend";"2013M09";72.7
"Begge kjønn";"25-74 år";"Trend";"2013M10";72.6
"Begge kjønn";"25-74 år";"Trend";"2013M11";72.5
"Begge kjønn";"25-74 år";"Trend";"2013M12";72.4
"Begge kjønn";"25-74 år";"Trend";"2014M01";72.4
"Begge kjønn";"25-74 år";"Trend";"2014M02";72.4
"Begge kjønn";"25-74 år";"Trend";"2014M03";72.5
"Begge kjønn";"25-74 år";"Trend";"2014M04";72.5
"Begge kjønn";"25-74 år";"Trend";"2014M05";72.6
"Begge kjønn";"25-74 år";"Trend";"2014M06";72.6
"Begge kjønn";"25-74 år";"Trend";"2014M07";72.5
"Begge kjønn";"25-74 år";"Trend";"2014M08";72.4
"Begge kjønn";"25-74 år";"Trend";"2014M09";72.4
"Begge kjønn";"25-74 år";"Trend";"2014M10";72.3
"Begge kjønn";"25-74 år";"Trend";"2014M11";72.3
"Begge kjønn";"25-74 år";"Trend";"2014M12";72.3
"Begge kjønn";"25-74 år";"Trend";"2015M01";72.2
"Begge kjønn";"25-74 år";"Trend";"2015M02";72.1
"Begge kjønn";"25-74 år";"Trend";"2015M03";72.1
"Begge kjønn";"25-74 år";"Trend";"2015M04";72.0
"Begge kjønn";"25-74 år";"Trend";"2015M05";72.0
"Begge kjønn";"25-74 år";"Trend";"2015M06";72.0
"Begge kjønn";"25-74 år";"Trend";"2015M07";72.0
"Begge kjønn";"25-74 år";"Trend";"2015M08";71.9
"Begge kjønn";"25-74 år";"Trend";"2015M09";71.8
"Begge kjønn";"25-74 år";"Trend";"2015M10";71.7
"Begge kjønn";"25-74 år";"Trend";"2015M11";71.6
"Begge kjønn";"25-74 år";"Trend";"2015M12";71.6
"Begge kjønn";"25-74 år";"Trend";"2016M01";71.6
"Begge kjønn";"25-74 år";"Trend";"2016M02";71.6
"Begge kjønn";"25-74 år";"Trend";"2016M03";71.5
"Begge kjønn";"25-74 år";"Trend";"2016M04";71.5
"Begge kjønn";"25-74 år";"Trend";"2016M05";71.4
"Begge kjønn";"25-74 år";"Trend";"2016M06";71.3
"Begge kjønn";"25-74 år";"Trend";"2016M07";71.3
"Begge kjønn";"25-74 år";"Trend";"2016M08";71.2
"Begge kjønn";"25-74 år";"Trend";"2016M09";71.2
"Begge kjønn";"25-74 år";"Trend";"2016M10";71.2
"Begge kjønn";"25-74 år";"Trend";"2016M11";71.2
"Begge kjønn";"25-74 år";"Trend";"2016M12";71.1
"Begge kjønn";"25-74 år";"Trend";"2017M01";71.1
"Begge kjønn";"25-74 år";"Trend";"2017M02";71.0
"Begge kjønn";"25-74 år";"Trend";"2017M03";71.0
"Begge kjønn";"25-74 år";"Trend";"2017M04";70.9
"Begge kjønn";"25-74 år";"Trend";"2017M05";70.9
"Begge kjønn";"25-74 år";"Trend";"2017M06";70.9
"Begge kjønn";"25-74 år";"Trend";"2017M07";70.9
"Begge kjønn";"25-74 år";"Trend";"2017M08";70.8
"Begge kjønn";"25-74 år";"Trend";"2017M09";70.8
"Begge kjønn";"25-74 år";"Trend";"2017M10";70.9
"Begge kjønn";"25-74 år";"Trend";"2017M11";71.0
"Begge kjønn";"25-74 år";"Trend";"2017M12";71.1
"Begge kjønn";"25-74 år";"Trend";"2018M01";71.2
"Begge kjønn";"25-74 år";"Trend";"2018M02";71.2
"Begge kjønn";"25-74 år";"Trend";"2018M03";71.3
"Begge kjønn";"25-74 år";"Trend";"2018M04";71.3
"Begge kjønn";"25-74 år";"Trend";"2018M05";71.5
"Begge kjønn";"25-74 år";"Trend";"2018M06";71.5
"Begge kjønn";"25-74 år";"Trend";"2018M07";71.6
"Begge kjønn";"25-74 år";"Trend";"2018M08";71.6
"Begge kjønn";"25-74 år";"Trend";"2018M09";71.7
"Begge kjønn";"25-74 år";"Trend";"2018M10";71.7
"Begge kjønn";"25-74 år";"Trend";"2018M11";71.7
"Begge kjønn";"25-74 år";"Trend";"2018M12";71.8
"Begge kjønn";"25-74 år";"Trend";"2019M01";71.8
"Begge kjønn";"25-74 år";"Trend";"2019M02";71.7
"Begge kjønn";"25-74 år";"Trend";"2019M03";71.7
"Begge kjønn";"25-74 år";"Trend";"2019M04";71.7
"Begge kjønn";"25-74 år";"Trend";"2019M05";71.8
"Begge kjønn";"25-74 år";"Trend";"2019M06";71.8
"Begge kjønn";"25-74 år";"Trend";"2019M07";71.9
"Begge kjønn";"25-74 år";"Trend";"2019M08";71.9
"Begge kjønn";"25-74 år";"Trend";"2019M09";71.9
"Begge kjønn";"25-74 år";"Trend";"2019M10";71.9
"Begge kjønn";"25-74 år";"Trend";"2019M11";71.9
"Begge kjønn";"25-74 år";"Trend";"2019M12";71.8
"Begge kjønn";"25-74 år";"Trend";"2020M01";71.9
"Begge kjønn";"25-74 år";"Trend";"2020M02";71.9
"Begge kjønn";"25-74 år";"Trend";"2020M03";71.7
"Begge kjønn";"25-74 år";"Trend";"2020M04";71.2
"Begge kjønn";"25-74 år";"Trend";"2020M05";70.7
"Begge kjønn";"25-74 år";"Trend";"2020M06";70.5
"Begge kjønn";"25-74 år";"Trend";"2020M07";70.6
"Begge kjønn";"25-74 år";"Trend";"2020M08";70.6
"Begge kjønn";"25-74 år";"Trend";"2020M09";70.9
"Begge kjønn";"25-74 år";"Trend";"2020M10";71.0
"Begge kjønn";"25-74 år";"Trend";"2020M11";71.2
"Begge kjønn";"25-74 år";"Trend";"2020M12";70.9
"Begge kjønn";"25-74 år";"Trend";"2021M01";71.0
"Begge kjønn";"25-74 år";"Trend";"2021M02";70.9
"Begge kjønn";"25-74 år";"Trend";"2021M03";71.1
"Begge kjønn";"25-74 år";"Trend";"2021M04";71.2
"Begge kjønn";"25-74 år";"Trend";"2021M05";71.5
"Begge kjønn";"25-74 år";"Trend";"2021M06";71.6
"Begge kjønn";"25-74 år";"Trend";"2021M07";72.1
"Begge kjønn";"25-74 år";"Trend";"2021M08";72.3
"Begge kjønn";"25-74 år";"Trend";"2021M09";72.8
"Begge kjønn";"25-74 år";"Trend";"2021M10";72.8
"Begge kjønn";"25-74 år";"Trend";"2021M11";72.8
"Begge kjønn";"25-74 år";"Trend";"2021M12";72.8
"Begge kjønn";"25-74 år";"Trend";"2022M01";73.0
"Begge kjønn";"25-74 år";"Trend";"2022M02";73.0
"Begge kjønn";"25-74 år";"Trend";"2022M03";73.1
"Begge kjønn";"25-74 år";"Trend";"2022M04";72.9
"Begge kjønn";"25-74 år";"Trend";"2022M05";72.7
"Begge kjønn";"25-74 år";"Trend";"2022M06";72.6
"Begge kjønn";"25-74 år";"Trend";"2022M07";72.5
"Begge kjønn";"25-74 år";"Trend";"2022M08";72.3
"Begge kjønn";"25-74 år";"Trend";"2022M09";72.4
"Begge kjønn";"25-74 år";"Trend";"2022M10";72.3
"Begge kjønn";"25-74 år";"Trend";"2022M11";72.3
"Begge kjønn";"25-74 år";"Trend";"2022M12";72.1
"Begge kjønn";"25-74 år";"Trend";"2023M01";72.1
"Begge kjønn";"25-74 år";"Trend";"2023M02";72.2
"Begge kjønn";"25-74 år";"Trend";"2023M03";72.2
"Begge kjønn";"25-74 år";"Trend";"2023M04";72.3
"Begge kjønn";"25-74 år";"Trend";"2023M05";72.4
"Begge kjønn";"25-74 år";"Trend";"2023M06";72.5
"Begge kjønn";"25-74 år";"Trend";"2023M07";72.5
"Begge kjønn";"25-74 år";"Trend";"2023M08";72.4
"Begge kjønn";"25-74 år";"Trend";"2023M09";72.4
"Begge kjønn";"25-74 år";"Trend";"2023M10";72.3
"Begge kjønn";"25-74 år";"Trend";"2023M11";72.3
"Begge kjønn";"25-74 år";"Trend";"2023M12";72.3
"Begge kjønn";"25-74 år";"Trend";"2024M01";72.3
"Begge kjønn";"25-74 år";"Trend";"2024M02";72.1
"Begge kjønn";"25-74 år";"Trend";"2024M03";72.0
"Begge kjønn";"25-74 år";"Trend";"2024M04";71.9
"Begge kjønn";"25-74 år";"Trend";"2024M05";71.9
"Begge kjønn";"25-74 år";"Trend";"2024M06";71.9
"Begge kjønn";"25-74 år";"Trend";"2024M07";72.0
"Begge kjønn";"25-74 år";"Trend";"2024M08";72.1
"Begge kjønn";"25-74 år";"Trend";"2024M09";72.1
"Begge kjønn";"25-74 år";"Trend";"2024M10";72.1
"Begge kjønn";"25-74 år";"Trend";"2024M11";72.0
"Begge kjønn";"25-74 år";"Trend";"2024M12";71.9
"Begge kjønn";"25-74 år";"Trend";"2025M01";71.8
"Begge kjønn";"25-74 år";"Trend";"2025M02";71.6
"Begge kjønn";"25-74 år";"Trend";"2025M03";71.5
